course,normalizedDifficulty
ANTH      2,6.856755522181643
ANTH      3,6.907838591768231
ANTH      3SS,7.793246482542417
ANTH      5,9.418479070899316
ANTH      5H,2.342478015003617
ANTH      7,6.663548764215959
ANTH      9,5.901532496444027
ANTH     25,6.462576054219303
ANTH     99,2.6891446816702835
ANTH    100,6.56173348530768
ANTH    102,7.064700237225838
ANTH    103,7.556921469152953
ANTH    103A,7.890097062622664
ANTH    103B,5.662473167420644
ANTH    103C,8.380939553465156
ANTH    104,5.3207619133087
ANTH    105,7.2456760605731585
ANTH    106,7.292895243982703
ANTH    106B,6.120255792781393
ANTH    107,7.878560704093294
ANTH    108,3.7301884450756617
ANTH    109,8.21247041547647
ANTH    110,6.349981438614667
ANTH    111,7.597614955540056
ANTH    112,7.442478015003616
ANTH    112Z,5.450203221895492
ANTH    113,4.259969473715012
ANTH    113FB,7.227093399619
ANTH    114,5.702016799070703
ANTH    115,4.3128617978874
ANTH    116A,8.13791724701472
ANTH    116B,7.238340038742878
ANTH    116C,6.142478015003613
ANTH    117,5.6195077485550895
ANTH    118TS,7.765792354984624
ANTH    119,5.918461076104645
ANTH    121,7.764460361708604
ANTH    121T,8.895654024580445
ANTH    122,7.144798276441525
ANTH    123,8.532361714150472
ANTH    123MG,5.598305520831122
ANTH    125,6.556877372469295
ANTH    127,8.383325179038422
ANTH    129,5.216937342271527
ANTH    129MG,9.308759825160925
ANTH    130,5.304174632339768
ANTH    130A,6.67549973865034
ANTH    130B,6.508669847862116
ANTH    130C,7.454614258389859
ANTH    131,8.194479675394971
ANTH    131CA,7.465335908527042
ANTH    132TS,5.845066006722044
ANTH    133,6.447255533384556
ANTH    134,6.3249681204336365
ANTH    135,5.697066575338145
ANTH    136,7.016837296759798
ANTH    137,6.079842535228373
ANTH    138,4.616357857489782
ANTH    138TS,8.270179451980573
ANTH    139,6.60234643605625
ANTH    141,6.825335157860759
ANTH    142,8.37363030553205
ANTH    143F,3.891674364631
ANTH    145,7.255073790118762
ANTH    147,6.220592493118094
ANTH    148,7.563077907624786
ANTH    148A,5.205797746816975
ANTH    149,8.799404476040735
ANTH    150,5.459021355384169
ANTH    150B,5.307308351031773
ANTH    150C,6.486947028146391
ANTH    151T,8.628825704458878
ANTH    152,5.35455653670714
ANTH    152A,4.620255792781393
ANTH    153,7.459499291599365
ANTH    153S,8.641890408166013
ANTH    153T,8.551912913780484
ANTH    154,5.541820120266775
ANTH    155,8.704331911340274
ANTH    156,6.226487755263356
ANTH    157ES,6.439252208552004
ANTH    157FS,8.542478015003617
ANTH    157L,5.316620144803643
ANTH    160,7.794858967384568
ANTH    161,8.454035702659024
ANTH    162,6.144894637652999
ANTH    162G,5.780519140544742
ANTH    164,4.898403940929544
ANTH    166BT,8.942478015003617
ANTH    167,8.160241570805619
ANTH    168,5.253295322695925
ANTH    169,5.848723904526308
ANTH    170,8.349659259684863
ANTH    171,5.263520165295392
ANTH    172,7.786922459448061
ANTH    174,6.038906586432186
ANTH    175,5.950372751845722
ANTH    176,5.499179374094042
ANTH    176B,7.750866891784941
ANTH    176TS,8.288255773902605
ANTH    177AB,5.928545236400933
ANTH    178,5.943553283820821
ANTH    180A,5.769214873106755
ANTH    180B,4.507248738107673
ANTH    181,2.6892728867984883
ANTH    182,6.768223697892156
ANTH    182M,6.007744999347313
ANTH    183,10.0
ANTH    184,3.933387105912707
ANTH    185,2.5299780150036173
ANTH    186,4.080212502738104
ANTH    186Z,4.490010588639132
ANTH    187,9.52726062369927
ANTH    188,5.863311348336948
ANTH    189,2.663906586432187
ANTH    191,6.157292829818431
ANTH    192AB,6.87505002754227
ANTH    193,3.43837173481038
ANTH    193A,9.100053772579376
ANTH    193B,10.0
ANTH    194,2.342478015003617
ANTH    194P,2.5350781232287254
ANTH    195A,3.4494720626226645
ANTH    195B,4.050811348336951
ANTH    195C,4.050811348336951
ANTH    196,6.069750742276343
ANTH    197,8.061990210125568
ANTH    197AC,4.662087803363404
ANTH    197BA,8.916802339327937
ANTH    197DB,7.972478015003615
ANTH    197DJ,5.989536838533031
ANTH    197DK,4.30612180585329
ANTH    197EB,6.42738126577761
ANTH    197ER,4.487214857108878
ANTH    197ES,5.204335157860759
ANTH    197EW,3.4535891261147285
ANTH    197GI,7.425811348336951
ANTH    197JH,4.012018244888674
ANTH    197LS,6.702478015003616
ANTH    197MB,5.120255792781394
ANTH    197MK,10.0
ANTH    197MS,8.38164435904801
ANTH    197SM,8.725290515003616
ANTH    197TP,5.620255792781392
ANTH    197XY,6.154978015003616
ANTH    197ZZ,2.342478015003617
ANTH    198,2.342478015003617
ANTH    199,2.4329542054798075
ANTH    199RA,2.511991472560553
ANTH    201A,2.342478015003617
ANTH    201B,2.342478015003617
ANTH    202,3.485335157860758
ANTH    203,2.509144681670283
ANTH    205,2.342478015003617
ANTH    206,2.615097062622665
ANTH    206AV,2.342478015003617
ANTH    206DJ,2.342478015003617
ANTH    206GA,3.771049443575049
ANTH    206GW,2.342478015003617
ANTH    206KS,2.342478015003617
ANTH    207,2.342478015003617
ANTH    208,2.751568924094529
ANTH    209,2.342478015003617
ANTH    210,2.7758113483369504
ANTH    214,2.342478015003617
ANTH    219,2.342478015003617
ANTH    222,2.7234303959559973
ANTH    225,3.642478015003616
ANTH    232,10.0
ANTH    234,2.342478015003617
ANTH    235A,3.402615100140702
ANTH    235B,2.592478015003617
ANTH    239A,2.5448589673845694
ANTH    240A,2.7030930943686964
ANTH    240B,2.342478015003617
ANTH    240C,2.342478015003617
ANTH    241,10.0
ANTH    241A,2.389868124893727
ANTH    241B,2.764435686961289
ANTH    244,2.365915515003617
ANTH    245,2.342478015003617
ANTH    245A,3.1091446816702835
ANTH    245IA,10.0
ANTH    250AO,2.342478015003617
ANTH    250BH,2.342478015003617
ANTH    250CW,2.342478015003617
ANTH    250DJ,2.342478015003617
ANTH    250DK,3.542478015003618
ANTH    250IA,2.342478015003617
ANTH    250JB,2.342478015003617
ANTH    250MB,2.342478015003617
ANTH    250MG,2.342478015003617
ANTH    250MH,2.342478015003617
ANTH    250MS,2.342478015003617
ANTH    250RP,2.342478015003617
ANTH    250SS,2.642478015003617
ANTH    250TS,2.342478015003617
ANTH    250VP,2.342478015003617
ANTH    252,2.9424780150036174
ANTH    253,3.009144681670284
ANTH    256,3.3424780150036177
ANTH    260,2.4674780150036164
ANTH    266,2.5299780150036173
ANTH    273,2.342478015003617
ANTH    276,2.4106598331854343
ANTH    277,10.0
ANTH    501,10.0
ANTH    594,2.342478015003617
ANTH    596,2.38533515786076
ANTH    597,10.0
ANTH    598,10.0
ANTH    599,10.0
ART       1A,7.091406024443321
ART       1C,3.823041430889584
ART       7A,5.08646574762774
ART       7B,4.84600275439775
ART       7C,4.282264258237479
ART       7D,4.788128739004225
ART      10,4.285759373086016
ART      12,4.838470963465053
ART      14,4.570477602351456
ART      18,5.872938087704479
ART      19,4.794699118981297
ART      22,5.020160285427146
ART      32,4.619799825137926
ART     100,3.963749948714737
ART     101,3.767037714563316
ART     102,6.209327831853436
ART     102MM,5.544260317668272
ART     102XX,4.509144681670282
ART     105,3.2484123584379603
ART     105KY,3.176394098919702
ART     105PP,3.519043840482486
ART     105TD,3.369126366651968
ART     106,4.6996208721464745
ART     106FA,3.15130154441538
ART     106IV,3.225593483413202
ART     106PP,4.798827221352823
ART     106W,7.267060575300462
ART     110,4.516875170589499
ART     111PP,3.163906586432189
ART     112,4.0374096810819005
ART     113,5.2661352219941575
ART     117,4.649146441718315
ART     118,3.984356335532608
ART     120,2.999983952161088
ART     120EF,4.472302576407124
ART     120EL,4.389601030876633
ART     120NP,3.4194851463585736
ART     120PP,6.047023469549071
ART     120PV,2.5746208721464745
ART     120SE,6.976131861157463
ART     122,4.292478015003616
ART     122CC,4.350811348336951
ART     122CD,5.5483603679447935
ART     122PC,3.5980470986977
ART     123,4.588934173224481
ART     124,3.985335157860761
ART     125,6.043345005156321
ART     126,4.2751672190744
ART     130,5.294222132059682
ART     132,4.320082586358188
ART     133M,2.494989976726107
ART     134,3.5859706334962347
ART     136,5.690081783783856
ART     137,7.25141302085009
ART     177,5.933008318033919
ART     185AA,3.587949029496372
ART     185AI,4.794401091926693
ART     185BD,3.4288477855839146
ART     185GL,2.9730335705591724
ART     185HR,4.326853015003618
ART     185JC,3.8633113483369503
ART     185KY,5.955915515003616
ART     185LJ,3.0544133019389035
ART     185PR,2.5299780150036173
ART     185SW,3.759144681670283
ART     185XX,3.868271665797268
ART     189A,4.160659833185438
ART     189B,3.942478015003614
ART     189C,2.8424780150036173
ART     192,10.0
ART     192ES,10.0
ART     192IA,10.0
ART     194,3.670945923906309
ART     196,3.471040816935984
ART     199,2.689029739141548
ART     199RA,2.659144681670284
ART     213,3.2924780150036166
ART     244,2.409144681670284
ART     245,2.859572032097634
ART     246,2.542478015003617
ART     260,2.342478015003617
ART     261,2.342478015003617
ART     501,10.0
ART     591A,2.463690136215738
ART     593MS,2.342478015003617
ART     595,2.342478015003617
ART  CS   5,10.0
ART  CS  15,10.0
ART  CS 101,10.0
ART  CS 102,10.0
ART  CS 104,10.0
ART  CS 105,10.0
ART  CS 106,10.0
ART  CS 107,10.0
ART  CS 112,10.0
ART  CS 120,10.0
ART  CS 125,10.0
ART  CS 150,10.0
ART  CS 199,10.0
ARTHI     1,7.768577905671847
ARTHI     5A,6.887969048932898
ARTHI     5AH,3.099620872146474
ARTHI     5B,5.544193526389599
ARTHI     6A,7.957669542783087
ARTHI     6B,6.617431909140622
ARTHI     6C,6.964685325639663
ARTHI     6DL,6.686449646209293
ARTHI     6DS,5.922119958729713
ARTHI     6DW,5.010988832431513
ARTHI     6E,6.510080948383231
ARTHI     6F,7.023763756451103
ARTHI     6G,6.19353600251704
ARTHI     6H,6.057544477178819
ARTHI     6J,6.053540646893151
ARTHI     6K,7.575461381420913
ARTHI     6L,5.638871026730764
ARTHI     6M,5.119505042030645
ARTHI    99,2.342478015003617
ARTHI   100,4.2638066863322885
ARTHI   101C,8.314176128211166
ARTHI   103A,9.686197705489995
ARTHI   103B,8.133715015091546
ARTHI   103C,9.784248201339018
ARTHI   103D,6.731746307686543
ARTHI   103F,8.664700237225837
ARTHI   103G,5.817128364653968
ARTHI   105C,8.914193521719124
ARTHI   105E,9.526006443097264
ARTHI   105G,8.028028097105425
ARTHI   105L,5.495539239493414
ARTHI   105M,8.470683143208745
ARTHI   105O,6.7970874927718885
ARTHI   105P,6.274303843811213
ARTHI   105Q,4.4013015444153805
ARTHI   107A,5.7482140597959965
ARTHI   107B,5.712117810851188
ARTHI   107C,5.703393416451053
ARTHI   107D,5.802894681670283
ARTHI   108MM,4.828589126114726
ARTHI   109A,5.19071033823594
ARTHI   109B,5.542142139912839
ARTHI   109C,4.707503210147913
ARTHI   109D,5.509144681670281
ARTHI   109E,5.049509265003616
ARTHI   109F,6.993887258379498
ARTHI   109G,5.572443171798041
ARTHI   111B,6.160798211040554
ARTHI   111C,6.085317550946602
ARTHI   111F,5.613311348336948
ARTHI   112BB,8.623728015003618
ARTHI   113A,5.734163535365607
ARTHI   113B,6.982017543581006
ARTHI   113F,6.295314459658998
ARTHI   115D,5.464760623699268
ARTHI   115E,7.0961097568250135
ARTHI   116AA,7.864086658461002
ARTHI   117B,6.646134092819359
ARTHI   117C,7.765163240582223
ARTHI   117F,5.4493078830117945
ARTHI   118AA,7.726198945236175
ARTHI   119B,5.59368477859695
ARTHI   119C,5.485335157860761
ARTHI   119D,5.55986931935144
ARTHI   119E,6.2120200957299065
ARTHI   119F,6.458376891408111
ARTHI   119G,7.133885043030363
ARTHI   120AA,5.81440261817822
ARTHI   120AZ,8.217478015003616
ARTHI   120BB,6.020238592918993
ARTHI   120CC,5.692572295330456
ARTHI   120CV,4.89420215293465
ARTHI   120ML,6.753768337584263
ARTHI   121A,5.141579579824562
ARTHI   121B,5.051027797733692
ARTHI   121C,5.735072207582563
ARTHI   121D,4.494932685969808
ARTHI   121E,4.54484870465879
ARTHI   127A,5.664156002709497
ARTHI   127B,6.321227571165452
ARTHI   130A,7.923590867668193
ARTHI   130B,7.366801159765608
ARTHI   130C,6.164813115164796
ARTHI   130D,5.98582883125173
ARTHI   130F,2.814700237225842
ARTHI   131CC,6.913906586432188
ARTHI   131CM,5.389180142663192
ARTHI   131MM,4.098033570559172
